r,sequence,timestamp,deg,endpoint
m,82,820,-0.9/-0.214/25.168/-26.436,627.471/-152.337/119.504
m,83,830,-0.9/-0.18/25.105/-26.439,627.527/-152.354/119.588
m,84,840,-0.9/-0.144/25.038/-26.443,627.584/-152.372/119.68
m,85,850,-0.9/-0.108/24.968/-26.446,627.648/-152.391/119.753
m,86,860,-0.9/-0.075/24.895/-26.45,627.724/-152.41/119.78
m,87,870,-0.9/-0.048/24.818/-26.453,627.818/-152.429/119.733
m,88,880,-0.9/-0.027/24.739/-26.457,627.934/-152.449/119.591
m,89,890,-0.9/-0.014/24.656/-26.46,628.07/-152.469/119.361
m,90,900,-0.9/-0.005/24.57/-26.464,628.223/-152.49/119.057
m,91,910,-0.9/-0.001/24.481/-26.468,628.392/-152.511/118.69
m,92,920,-0.9/-0.0/24.388/-26.471,628.573/-152.532/118.275
m,93,930,-0.9/-0.001/24.292/-26.475,628.764/-152.554/117.824
m,94,940,-0.9/-0.003/24.192/-26.479,628.962/-152.576/117.352
m,95,950,-0.9/-0.003/24.089/-26.483,629.165/-152.598/116.87
m,96,960,-0.9/-0.002/23.982/-26.487,629.371/-152.621/116.392
m,97,970,-0.9/0.002/23.872/-26.49,629.577/-152.643/115.931
m,98,980,-0.9/0.011/23.758/-26.494,629.78/-152.666/115.502
m,99,990,-0.9/0.025/23.641/-26.498,629.979/-152.689/115.116
m,100,1000,-0.9/0.046/23.52/-26.502,630.17/-152.711/114.787
m,101,1010,-0.9/0.075/23.395/-26.506,630.352/-152.734/114.529
m,102,1020,-0.9/0.113/23.266/-26.51,630.523/-152.756/114.355
m,103,1030,-0.9/0.161/23.133/-26.514,630.679/-152.779/114.278
m,104,1040,-0.9/0.221/22.997/-26.518,630.819/-152.801/114.312
m,105,1050,-0.9/0.294/22.857/-26.522,630.94/-152.823/114.469
m,106,1060,-0.9/0.381/22.712/-26.526,631.039/-152.844/114.764
m,107,1070,-0.9/0.483/22.564/-26.53,631.115/-152.865/115.209
m,108,1080,-0.9/0.602/22.412/-26.534,631.163/-152.886/115.819
m,109,1090,-0.9/0.739/22.256/-26.538,631.182/-152.907/116.605
m,110,1100,-0.9/0.894/22.095/-26.542,631.168/-152.927/117.582
m,111,1110,-0.9/1.07/21.931/-26.546,631.117/-152.946/118.763
m,112,1120,-0.9/1.267/21.762/-26.55,631.026/-152.965/120.161
m,113,1130,-0.9/1.486/21.589/-26.554,630.891/-152.983/121.789
m,114,1140,-0.9/1.73/21.412/-26.558,630.708/-153.0/123.661
m,115,1150,-0.9/1.998/21.231/-26.562,630.471/-153.016/125.789
m,116,1160,-0.9/2.293/21.045/-26.566,630.175/-153.031/128.186
m,117,1170,-0.9/2.614/20.855/-26.57,629.818/-153.046/130.852
m,118,1180,-0.9/2.955/20.661/-26.574,629.407/-153.059/133.728
m,119,1190,-0.9/3.312/20.463/-26.578,628.954/-153.072/136.743
m,120,1200,-0.9/3.675/20.261/-26.582,628.474/-153.084/139.826
m,121,1210,-0.9/4.04/20.056/-26.586,627.98/-153.096/142.906
m,122,1220,-0.9/4.4/19.849/-26.59,627.489/-153.108/145.912
