r,sequence,timestamp,deg,endpoint
m,81,810,34.0/-28.024/20.678/-3.0,36.351/-360.942/-310.008
m,82,820,34.0/-27.77/20.796/-3.0,37.465/-360.19/-310.763
m,83,830,35.0/-27.638/20.85/-3.0,44.318/-359.081/-311.151
m,84,840,35.0/-27.752/20.767/-3.0,43.83/-359.422/-310.816
m,85,850,35.0/-27.796/20.0/-3.0,43.817/-359.431/-310.714
m,86,860,35.0/-27.767/19.0/-3.0,44.185/-359.174/-310.844
m,87,870,36.0/-27.594/18.0/-3.0,51.44/-357.626/-311.401
m,88,880,36.0/-27.0/17.0/-3.0,54.29/-355.555/-313.179
m,89,890,36.0/-26.964/16.0/-3.0,54.682/-355.271/-313.336
m,90,900,36.0/-26.592/14.0/-3.0,56.793/-353.737/-314.515
m,91,910,36.0/-26.0/13.0/-3.0,59.661/-351.653/-316.236
m,92,920,36.0/-25.944/12.0/-3.0,60.142/-351.304/-316.459
m,93,930,36.0/-25.0/11.0/-3.0,64.606/-348.06/-319.084
m,94,940,36.0/-25.0/11.0/-3.0,64.606/-348.06/-319.084
m,95,950,35.0/-24.0/11.0/-3.0,63.103/-345.928/-321.694
m,96,960,35.0/-24.0/11.0/-3.0,63.103/-345.928/-321.694
m,97,970,34.0/-24.0/11.0/-3.0,57.056/-346.976/-321.694
m,98,980,34.0/-23.0/12.0/-3.0,61.491/-343.984/-324.147
m,99,990,33.0/-23.0/12.0/-3.0,55.479/-345.005/-324.147
m,100,1000,32.663/-22.0/12.0/-3.009,58.235/-342.254/-326.515
m,101,1010,32.89/-22.0/12.0/-4.0,60.214/-341.215/-321.075
m,102,1020,33.077/-21.0/12.0/-4.0,66.036/-337.948/-323.378
m,103,1030,33.288/-21.0/12.0/-4.0,67.282/-337.702/-323.378
m,104,1040,33.488/-20.0/13.0/-5.0,73.187/-333.813/-320.004
m,105,1050,33.634/-20.0/13.0/-5.0,74.039/-333.625/-320.004
m,106,1060,33.774/-19.0/13.0/-5.0,79.509/-330.329/-322.105
m,107,1070,33.922/-19.0/13.0/-6.0,80.547/-329.354/-316.576
m,108,1080,34.046/-18.0/13.0/-6.0,85.851/-326.076/-318.569
m,109,1090,34.173/-18.0/14.0/-7.0,86.056/-325.471/-312.988
m,110,1100,34.342/-17.0/14.0/-8.0,91.37/-321.359/-309.358
m,111,1110,34.52/-17.0/14.0/-8.0,92.364/-321.075/-309.358
m,112,1120,34.675/-16.0/14.0/-9.0,97.378/-316.953/-305.638
m,113,1130,34.876/-16.0/14.0/-10.0,98.119/-315.744/-300.133
m,114,1140,35.021/-16.0/15.0/-10.0,98.123/-316.051/-300.108
m,115,1150,35.163/-15.0/15.0/-10.0,103.201/-312.782/-301.825
m,116,1160,35.266/-15.0/15.0/-10.0,103.765/-312.595/-301.825
m,117,1170,35.398/-14.0/15.0/-10.0,108.788/-309.296/-303.45
m,118,1180,35.492/-14.0/15.0/-10.0,109.299/-309.116/-303.45
m,119,1190,35.528/-13.0/16.0/-10.0,113.026/-306.525/-305.026
m,120,1200,35.598/-13.0/16.0/-10.0,113.397/-306.388/-305.026
m,121,1210,35.646/-12.0/16.0/-10.0,117.994/-303.181/-306.483
m,122,1220,35.649/-12.0/16.0/-10.0,118.006/-303.177/-306.483
m,123,1230,35.653/-11.0/16.0/-10.0,122.387/-300.042/-307.846
m,124,1240,35.644/-11.0/17.0/-10.0,121.551/-300.626/-307.939
m,125,1250,35.67/-11.0/17.0/-10.0,121.687/-300.571/-307.939
m,126,1260,35.74/-10.0/17.0/-10.0,126.43/-297.274/-309.226
m,127,1270,35.843/-10.0/17.0/-10.0,126.963/-297.047/-309.226
m,128,1280,35.963/-9.0/17.0/-10.0,131.96/-293.605/-310.418
m,129,1290,36.082/-9.0/17.0/-10.0,132.569/-293.331/-310.418
m,130,1300,36.181/-8.0/18.0/-10.0,136.686/-290.461/-311.676
m,131,1310,36.223/-8.0/18.0/-10.0,136.899/-290.361/-311.676
m,132,1320,36.245/-8.0/18.0/-10.0,137.009/-290.309/-311.676
m,133,1330,36.265/-7.0/18.0/-10.0,141.504/-287.038/-312.696
m,134,1340,36.297/-7.0/18.0/-10.0,141.664/-286.959/-312.696
m,135,1350,36.323/-6.0/19.0/-10.0,145.439/-284.216/-313.83
m,136,1360,36.388/-5.0/19.0/-10.0,150.175/-280.798/-314.675
m,137,1370,36.462/-5.0/19.0/-10.0,150.534/-280.605/-314.675
m,138,1380,36.529/-5.0/19.0/-10.0,150.867/-280.427/-314.675
m,139,1390,36.566/-4.0/19.0/-10.0,155.464/-277.054/-315.425
m,140,1400,36.587/-4.0/19.0/-10.0,155.564/-276.997/-315.425
m,141,1410,36.575/-4.0/19.0/-10.0,155.507/-277.029/-315.425
m,142,1420,36.569/-3.0/19.0/-10.0,159.902/-273.763/-316.078
m,143,1430,36.0/-3.0/19.0/-10.0,157.176/-275.337/-316.078
m,144,1440,36.0/-2.0/20.0/-10.0,160.895/-272.635/-316.927
m,145,1450,36.0/-2.0/20.0/-10.0,160.895/-272.635/-316.927
m,146,1460,36.0/-2.0/20.0/-10.0,160.895/-272.635/-316.927
m,147,1470,36.0/-1.0/20.0/-10.0,165.374/-269.382/-317.404
m,148,1480,36.0/-1.0/20.0/-10.0,165.374/-269.382/-317.404
m,149,1490,35.0/-1.0/20.0/-10.0,160.647/-272.227/-317.404
m,150,1500,35.0/0.0/20.0/-10.0,165.188/-269.047/-317.784
m,151,1510,35.0/0.0/20.0/-10.0,165.188/-269.047/-317.784
m,152,1520,35.0/-1.0/20.0/-10.0,160.647/-272.227/-317.404
m,153,1530,34.0/-3.0/20.0/-10.0,146.701/-281.175/-316.354
m,154,1540,34.0/-5.0/20.0/-10.0,137.566/-287.337/-314.918
m,155,1550,34.0/-6.0/20.0/-10.0,133.015/-290.406/-314.056
m,156,1560,34.0/-7.768/20.0/-10.0,125.004/-295.81/-312.299
m,157,1570,33.0/-6.986/20.0/-10.0,123.403/-295.621/-313.113
m,158,1580,33.0/-6.177/20.0/-10.0,127.112/-293.212/-313.894
m,159,1590,33.0/-5.206/20.0/-10.0,131.582/-290.309/-314.749
m,160,1600,33.0/-3.998/20.0/-10.0,137.155/-286.69/-315.685
m,161,1610,32.0/-2.73/20.0/-10.0,138.065/-285.332/-316.518
m,162,1620,32.0/-1.384/20.0/-10.0,144.378/-281.387/-317.232
m,163,1630,32.0/-0.013/20.0/-10.0,150.819/-277.362/-317.779
m,164,1640,31.0/1.304/20.0/-10.0,152.222/-276.187/-318.134
m,165,1650,30.999/2.565/20.0/-10.0,158.22/-272.583/-318.316
m,166,1660,30.318/3.686/20.0/-10.0,160.345/-271.3/-318.348
m,167,1670,29.721/4.638/20.0/-10.0,162.107/-270.332/-318.28
m,168,1680,29.214/5.0/20.0/-10.0,161.46/-270.776/-318.231
m,169,1690,28.79/5.0/20.0/-10.0,159.452/-271.963/-318.231
m,170,1700,28.406/6.0/20.0/-10.0,162.511/-270.384/-318.029
m,171,1710,28.088/6.0/20.0/-10.0,161.008/-271.282/-318.029
m,172,1720,27.834/6.0/20.0/-10.0,159.804/-271.993/-318.029
m,173,1730,27.627/6.0/20.0/-10.0,158.817/-272.57/-318.029
m,174,1740,27.434/7.0/20.0/-10.0,162.824/-270.546/-317.731
m,175,1750,27.0/7.0/20.0/-10.0,160.769/-271.772/-317.731
m,176,1760,27.0/7.0/20.0/-10.0,160.769/-271.772/-317.731
m,177,1770,26.809/8.0/20.0/-9.0,167.531/-269.465/-322.2
m,178,1780,26.0/8.0/20.0/-8.0,166.404/-271.407/-327.077
m,179,1790,26.0/8.0/20.0/-7.0,169.06/-270.923/-331.966
m,180,1800,25.0/8.0/20.0/-5.0,169.526/-272.686/-341.774
m,181,1810,25.0/9.0/20.0/-4.59,176.009/-269.874/-343.046
m,182,1820,25.0/9.0/19.752/-4.613,176.038/-269.849/-342.882
m,183,1830,24.0/9.0/19.351/-4.634,171.391/-272.83/-342.693
m,184,1840,24.0/9.0/18.899/-4.654,171.505/-272.77/-342.499
m,185,1850,23.0/10.0/18.433/-4.673,172.334/-273.328/-341.452
m,186,1860,23.0/10.0/17.997/-4.693,172.444/-273.272/-341.262
m,187,1870,23.0/10.0/17.58/-4.713,172.547/-273.218/-341.072
m,188,1880,22.0/10.0/17.153/-4.734,167.861/-276.133/-340.879
m,189,1890,22.0/10.0/16.707/-4.755,167.979/-276.075/-340.682
m,190,1900,21.0/10.0/16.238/-4.775,163.267/-278.904/-340.484
m,191,1910,21.0/10.0/16.0/-4.795,163.31/-278.878/-340.335
m,192,1920,21.0/11.0/16.0/-4.816,168.797/-276.761/-339.267
m,193,1930,20.0/11.0/16.0/-4.836,163.89/-279.674/-339.166
