r,sequence,timestamp,endpoint,deg,deg/sec,mA,grip/rotation,torque,force,ori,#
m,180,180,254.57716682170997/-539.9537076415496/-72.02731161158083,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,181,181,253.01161578428452/-540.7038233801696/-75.83092401724348,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,182,182,251.52084760094368/-541.3743574509144/-79.7018703810077,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,183,183,250.1056015481365/-541.9652475975465/-83.63614427309099,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,184,184,248.76654244836482/-542.4765053362361/-87.62968405505048,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,185,185,247.5041108973073/-542.9083644135617/-91.67826278933089,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,186,186,246.3186946784855/-543.2611106676837/-95.77761593132902,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,187,187,245.2105111539984/-543.5351940466641/-99.9233786915616,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,188,188,244.17962437530355/-543.7312121313788/-104.11109610052677,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,189,189,243.22603994837857/-543.8498210830342/-108.3362852283885,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,190,190,242.34955155938957/-543.8918903317091/-112.59436416364753,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,191,191,241.54989482203482/-543.8583475285782/-116.88072484252176,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,192,192,240.82666250253533/-543.7502578809068/-121.19071973791681,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,193,193,240.1792885766322/-543.5688395044901/-125.51965745498319,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,194,194,239.60716101096182/-543.3153561398238/-129.86284070940647,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,195,195,239.1094751817852/-542.991263723381/-134.2155538415359,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,196,196,238.68536268939005/-542.5980817241305/-138.5730757472054,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,197,197,238.3338458440656/-542.137433672196/-142.93070329347253,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,198,198,238.05379669204885/-541.6110861709255/-147.28375806549326,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,199,199,237.8440510929702/-541.0208414412809/-151.62757189723578,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,200,200,237.70327933310043/-540.3686669751894/-155.95753201895621,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,201,201,237.6300841036069/-539.6565975896407/-160.26904902483537,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,202,202,237.62299582734525/-538.8867286443797/-164.55761688368406,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,203,203,237.68042184320674/-538.0612585625341/-168.81887182019057,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,204,204,237.8007374741953/-537.1824199559934/-173.04846167900794,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,205,205,237.9821480065027/-536.2526506256158/-177.24201481297476,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,206,206,238.22277292074665/-535.274491418491/-181.39515186263563,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,207,207,238.52075425621456/-534.2503692909678/-185.50386555858762,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,208,208,238.87428356916038/-533.1824666414258/-189.56494220588058,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,209,209,239.28150248182857/-532.0730447284966/-193.57509902495232,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,210,210,239.7399191611124/-530.9256055927552/-197.52912917138323,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,211,211,240.24664421257157/-529.7444296504381/-201.42061980119072,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,212,212,240.7996007505617/-528.5320007101433/-205.24654318605803,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,213,213,241.39890855786442/-527.2859495555671/-209.0130046149667,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,214,214,242.0445911314319/-526.0040904204986/-212.72585153871051,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,215,215,242.729626324233/-524.6993557457477/-216.36381629732603,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,216,216,243.44149186237337/-523.396479863133/-219.88446412633218,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,217,217,244.17701425804955/-522.0999957921425/-223.28204003437241,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,218,218,244.9653301278292/-520.7446268091078/-226.6775197967062,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,219,219,245.83833705035485/-519.2591179591386/-230.20277935880307,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,220,220,246.73923840259567/-517.7635708065117/-233.64333611843202,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,221,221,247.52561575380818/-516.562814786992/-236.45034689046864,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,222,222,248.10813841905428/-515.8461484262285/-238.28628742684404,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,223,223,248.64291249904144/-515.2690282093331/-239.78946635246325,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,224,224,249.34765325470957/-514.3530286615354/-241.8426663943892,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,225,225,250.28067630030299/-512.9703836535924/-244.67945258486577,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,226,226,251.31012739174244/-511.41167699442406/-247.75884862409976,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,227,227,252.31408731897562/-509.94514940740885/-250.58230116914092,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,228,228,253.28749700533848/-508.57926236074906/-253.13807521224663,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,229,229,254.26522429674645/-507.233720023695/-255.58076566460164,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,230,230,255.26394147898824/-505.868673544716/-257.9892488118865,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,231,231,256.273384299077/-504.5041514108485/-260.3303075412277,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,232,232,257.28226574001303/-503.16246110676036/-262.566467769679,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,233,233,258.2874816036626/-501.84775970229106/-264.69430121984095,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,234,234,259.28947465441786/-500.5563370138879/-266.7251366738542,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,235,235,260.28761717025907/-499.2868882024927/-268.6657898192246,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,236,236,261.27928779437036/-498.0425872829281/-270.5146727998399,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,237,237,262.26172068054547/-496.8269425874928/-272.2695634302214,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,238,238,263.232797222613/-495.6420988634537/-273.93073220036405,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,239,239,264.1907510080151/-494.4894590638368/-275.4998054021041,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,240,240,265.1338019578239/-493.37050288256347/-276.97821506560365,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,241,241,266.06013044496586/-492.28690361245555/-278.36691517224875,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,242,242,266.96792204021665/-491.24034548904496/-279.66681239982336,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,243,243,267.8554956644836/-490.2323118727906/-280.8790575396369,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,244,244,268.7212605613192/-489.2641500785608/-282.00496667747575,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,245,245,269.5636911586451/-488.33712427980345/-283.04591939790834,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,246,246,270.38144608454724/-487.45226484948637/-284.00347048140827,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,247,247,271.1732144067539/-486.61056857025824/-284.87918898858857,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,248,248,271.9376376989386/-485.8131786323032/-285.6743483921476,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,249,249,272.6733177297938/-485.0613609374504/-286.38997441091993,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,250,250,273.37911052133296/-484.3559723169182/-287.02756127616215,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,251,251,274.05481450606857/-483.69634665821724/-287.5903596868693,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,252,252,274.7003652176939/-483.0816076459423/-288.08184020106853,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,253,253,275.31373239765014/-482.51433418792857/-288.50093460035174,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,254,254,275.8908494559921/-482.000684400104/-288.84187302354934,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,255,255,276.42990777983437/-481.5429559270796/-289.1037475107089,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,256,256,276.94016718269927/-481.1245014092009/-289.30955180389907,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,257,257,277.4339584151424/-480.7234197345953/-289.4889030502355,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,258,258,277.91676940287255/-480.3296179150892/-289.65633559831775,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,259,259,278.3853239153233/-479.9481265686054/-289.8070660684428,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,260,260,278.836254849797/-479.5841429519687/-289.9360820245253,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,261,261,279.26910168882563/-479.2379078767637/-290.0446043733038,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,262,262,279.68448088128804/-478.9078261421792/-290.13616204047815,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,263,263,280.0826027888/-478.59302585398257/-290.2133106257342,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,264,264,280.4630300665229/-478.2937885652602/-290.2770540174388,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,265,265,280.82529753363457/-478.01045263567073/-290.3283045758831,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,266,266,281.1691714871783/-477.7430005565046/-290.36833575020336,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,267,267,281.4945266897024/-477.4912482473138/-290.3985895485618,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,268,268,281.80122665198553/-477.255052298758/-290.4204076158155,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,269,269,282.08911138777347/-477.0343516703081/-290.4349310947101,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,270,270,282.35802154830725/-476.82909239314813/-290.4432706974961,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,271,271,282.60783254021146/-476.6391938370147/-290.44646687526193,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,272,272,282.83844014336574/-476.4645597714187/-290.4455187995101,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,273,273,283.04974712059715/-476.30509896558283/-290.44137759132684,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,274,274,283.24167293413444/-476.1607330930598/-290.43487635603407,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,275,275,283.4141405475251/-476.03138603910736/-290.42682297345516,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,276,276,283.5670860388363/-475.91698503039606/-290.417926020857,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,277,277,283.7004550246/-475.81745972571855/-290.40882184504363,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,278,278,283.8141987282294/-475.7327455737404/-290.4000910135096,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,279,279,283.908285309714/-475.6627960379238/-290.3921439971251,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,280,280,283.9826862458931/-475.6075681097394/-290.3853579551301,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,281,281,284.03737301360593/-475.56701878065803/-290.3801100467641,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,282,282,284.07231708969175/-475.54110504215015/-290.3767774312668,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
