x_end,y_end,z_end,deg1,deg2,deg3,deg4,timestamps
415.90836250799623,116.97799193259841,-173.0651515304053,32.644773649322396,0.0,40.097169084627865,-30.501762655343995,0.0
400.38336376862145,89.1952095161638,-245.76101632292568,26.89663842082838,0.0,46.2835766876647,-27.472120560393012,0.010101010101010102
393.38708134822895,64.97025912124187,-278.07131260961705,22.952317816593343,0.0,49.06414621022505,-26.462941669983685,0.020202020202020204
388.66144475279384,46.624509296819895,-294.4050465345722,20.209981481183185,0.0,50.15497246576175,-26.381439935519982,0.030303030303030304
385.87926267057736,36.581420700121114,-303.78798888371597,18.83314908826088,0.0,50.688746490417266,-26.324172693383872,0.04040404040404041
383.83114265679836,34.353124601031766,-309.395208277945,18.367502273643453,0.0,51.019127348848265,-26.135325139408703,0.05050505050505051
381.8609552367876,35.173090186345306,-312.9459691146425,18.10506737854094,0.0,51.29796966742147,-25.960200531283213,0.06060606060606061
379.8046354513707,36.45638623413839,-314.7868036981156,17.773108205899234,0.0,51.48864786865513,-25.79454802948192,0.07070707070707072
379.0744798984088,34.0372451422609,-315.3483374335374,17.3101912003128,0.0,51.542926835662186,-25.979114307481755,0.08080808080808081
379.5385622043313,26.224380651394156,-314.26762778459863,16.794728198365604,0.0,51.5762592732019,-26.245381926430376,0.09090909090909091
380.092787680759,17.957779607198077,-313.5043901353446,16.31203832744019,0.0,51.49723933913621,-26.43899844740295,0.10101010101010102
378.4920701512637,11.293942560584625,-314.5493160158665,15.88042827295908,0.0,51.292290864820416,-26.681124299022372,0.11111111111111112
373.5928738955258,5.969378331690734,-314.6166004572461,15.53171701800403,0.0,51.146179309984134,-26.933437867449758,0.12121212121212122
367.1688851288109,2.805288644124275,-312.44123619742453,15.515541742796668,0.0,51.290212407643885,-27.20767028063041,0.13131313131313133
360.4933671721167,2.1650797066002525,-308.2113557140565,15.847762072309887,0.0,51.61098120499506,-27.3790133368177,0.14141414141414144
353.6074014462513,2.787226265166467,-302.487123148087,16.296400788625753,0.0,51.94669766994416,-27.691000396480668,0.15151515151515152
346.0920217709049,4.811624120075791,-297.3129446256533,16.55204663324554,0.0,52.01414662596216,-28.01619050496035,0.16161616161616163
338.5899650949449,6.163636542157306,-290.8530655137047,16.827305975822078,0.0,52.103254211185174,-28.387694980575347,0.17171717171717174
330.2912052228065,8.08465080106042,-281.90545499438986,17.33870665178756,0.0,52.37719409582438,-28.942872105865987,0.18181818181818182
320.486242465058,8.963120782364996,-270.84274859765503,18.201098050362223,0.0,52.82580664752153,-29.528474355819558,0.19191919191919193
311.0519771736001,11.179516744143015,-256.7956584837483,19.212732375594285,0.0,53.51819896067295,-29.843056963374035,0.20202020202020204
