deg,endpoint
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.5/55.5/37.5/41.5,0.184/0.224/0.544
3.0/55.5/37.5/41.5,0.186/0.222/0.544
3.0/55.5/37.5/41.5,0.186/0.222/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.5/55.5/37.5/41.5,0.188/0.22/0.544
2.0/55.5/37.5/41.5,0.19/0.219/0.544
1.5/55.5/37.5/41.5,0.191/0.217/0.544
1.5/55.5/37.5/41.5,0.191/0.217/0.544
1.5/55.5/37.5/41.5,0.191/0.217/0.544
1.5/55.5/37.5/41.0,0.191/0.215/0.546
0.5/55.5/37.5/41.0,0.195/0.212/0.546
0.5/55.5/37.5/41.0,0.195/0.212/0.546
0.5/55.5/37.5/41.0,0.195/0.212/0.546
0.0/55.5/37.5/41.0,0.197/0.21/0.546
-0.5/55.5/37.5/41.0,0.199/0.208/0.546
-0.5/55.5/37.5/40.5,0.199/0.206/0.548
-1.0/55.5/37.5/40.5,0.2/0.204/0.548
-1.0/55.5/38.0/40.5,0.198/0.204/0.548
-2.0/55.5/38.0/40.5,0.202/0.201/0.548
-2.0/55.5/38.0/40.0,0.202/0.199/0.55
-2.0/55.5/38.0/40.0,0.202/0.199/0.55
-3.0/55.5/38.0/40.0,0.205/0.195/0.55
-3.0/55.5/38.0/40.0,0.205/0.195/0.55
-3.5/55.5/38.0/40.0,0.207/0.193/0.55
-4.0/55.5/38.0/40.0,0.208/0.192/0.55
-4.5/55.5/38.0/39.5,0.21/0.188/0.551
-4.5/55.5/38.5/39.5,0.208/0.188/0.551
-5.5/56.0/38.5/39.5,0.206/0.185/0.553
-5.5/56.0/38.5/39.5,0.206/0.185/0.553
-6.5/56.0/38.5/39.5,0.209/0.181/0.553
-6.5/56.0/38.5/39.5,0.209/0.181/0.553
-6.5/57.0/38.5/39.5,0.2/0.182/0.556
-7.5/57.0/39.0/39.5,0.201/0.179/0.556
-7.5/57.0/39.0/39.5,0.201/0.179/0.556
-8.0/57.5/39.0/39.5,0.198/0.178/0.557
-8.0/57.5/39.0/39.5,0.198/0.178/0.557
-9.0/58.0/39.5/39.5,0.194/0.175/0.559
-9.0/58.5/39.5/39.5,0.189/0.176/0.56
-9.5/58.5/39.5/39.5,0.19/0.175/0.56
-9.5/59.0/40.0/39.5,0.183/0.176/0.561
-9.5/59.5/40.0/39.5,0.179/0.176/0.562
-10.0/60.0/40.0/39.5,0.175/0.176/0.564
-10.0/60.5/40.5/39.5,0.168/0.177/0.564
-10.0/61.0/40.5/39.5,0.164/0.178/0.566
-10.0/61.5/40.5/40.0,0.159/0.181/0.565
-10.0/62.0/41.0/40.0,0.152/0.182/0.566
-10.0/62.5/41.0/40.0,0.148/0.183/0.567
-10.0/63.0/41.0/40.0,0.143/0.184/0.568
-10.0/63.5/41.5/40.0,0.136/0.185/0.568
-10.0/64.5/41.5/40.5,0.127/0.189/0.568
-10.0/64.5/41.5/40.5,0.127/0.189/0.568
-10.0/65.5/42.0/40.5,0.115/0.191/0.569
-10.0/65.5/42.0/41.0,0.116/0.193/0.567
-10.0/66.5/42.0/41.0,0.106/0.194/0.568
-10.0/67.0/42.5/41.0,0.099/0.196/0.568
-10.0/67.5/42.5/41.0,0.095/0.197/0.569
-10.0/68.0/42.5/41.5,0.091/0.199/0.568
-10.0/68.5/43.0/41.5,0.084/0.201/0.567
-10.0/69.0/43.0/41.5,0.079/0.201/0.568
-10.0/70.0/43.0/41.5,0.069/0.203/0.568
-10.0/70.5/43.5/41.5,0.062/0.204/0.568
-10.0/71.0/43.5/41.5,0.058/0.205/0.568
-10.0/71.5/43.5/42.0,0.054/0.208/0.566
-10.0/72.0/44.0/42.0,0.047/0.209/0.566
-10.0/72.5/44.0/42.5,0.043/0.212/0.564
-10.0/73.0/44.0/42.5,0.039/0.213/0.564
-10.0/74.0/44.5/43.0,0.028/0.217/0.561
-10.0/75.0/44.5/43.0,0.019/0.218/0.561
-10.0/75.0/44.5/43.5,0.02/0.22/0.559
-10.0/76.0/45.0/43.5,0.009/0.222/0.558
-10.0/76.0/45.0/44.0,0.01/0.224/0.556
