r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,11998,447634,1/70/26/90,0/300/0/0,-230/2659/486/-128,573/-12/-95,0/0,2134/2090/-13044,-620/351/279,0/-59/-12,#r_sy
r,11999,447667,1/71/26/90,0/278/0/0,-230/2658/488/-127,575/-12/-82,0/0,2110/1954/-13106,-648/372/261,-1/-71/-12,#r_sy
r,12000,447701,1/72/26/90,0/270/0/0,-230/2702/481/-126,577/-12/-69,0/0,1978/1882/-13062,-633/360/279,-1/-82/-12,#r_sy
r,12001,447733,1/72/26/90,0/291/0/0,-229/2726/487/-125,577/-12/-62,0/0,1971/1750/-13214,-672/384/261,-1/-87/-12,#r_sy
r,12002,447768,1/73/26/90,0/282/0/0,-229/2706/486/-132,578/-12/-50,0/0,1836/1626/-13067,-620/352/277,-1/-98/-12,#r_sy
r,12003,447800,1/74/26/90,0/231/0/0,-230/2741/556/-128,578/-12/-38,0/0,1904/1602/-13232,-671/386/256,-1/-108/-12,#r_sy
r,12004,447834,1/75/26/90,0/266/0/0,-229/2691/550/-127,578/-12/-32,0/0,1752/1504/-13108,-624/357/274,-1/-113/-12,#r_sy
r,12005,447869,1/76/26/90,0/217/0/0,-229/2767/553/-131,579/-12/-21,0/0,1879/1520/-13180,-654/380/253,-2/-123/-12,#r_sy
r,12006,447908,1/77/26/90,0/219/0/0,-230/2768/551/-128,579/-12/-10,0/0,1804/1416/-12986,-596/342/265,-2/-132/-12,#r_sy
r,12007,447947,1/78/26/90,0/204/0/0,-230/2776/558/-128,579/-12/0,0/0,1871/1522/-13053,-641/364/286,-2/-141/-12,#r_sy
r,12008,447979,1/79/26/90,0/233/0/0,-229/2756/551/-129,579/-12/9,0/0,1910/1476/-12768,-571/322/285,-2/-149/-12,#r_sy
r,12009,448013,1/79/26/90,0/231/0/0,-228/2747/552/-132,579/-12/14,0/0,2016/1570/-12712,-577/321/301,-2/-153/-12,#r_sy
r,12010,448049,1/80/26/90,0/223/0/0,-229/2764/550/-128,579/-12/23,0/0,2024/1602/-12606,-563/305/319,-2/-162/-12,#r_sy
r,12011,448087,1/81/26/90,0/196/0/0,-229/2752/551/-129,578/-12/33,0/0,2088/1645/-12532,-552/296/334,-2/-170/-12,#r_sy
r,12012,448121,1/82/26/90,0/196/0/0,-229/2812/557/-129,578/-12/43,0/0,2140/1648/-12512,-551/296/335,-2/-178/-12,#r_sy
r,12013,448154,1/82/26/90,0/205/0/0,-230/2804/552/-129,578/-12/48,0/0,2128/1648/-12424,-528/282/341,-3/-183/-12,#r_sy
r,12014,448189,1/83/26/90,0/206/0/0,-229/2818/550/-126,578/-12/58,0/0,2140/1644/-12404,-541/291/333,-3/-191/-12,#r_sy
r,12015,448223,1/84/26/90,0/201/0/0,-229/2831/554/-129,577/-12/68,0/0,2084/1624/-12352,-535/287/345,-3/-200/-12,#r_sy
r,12016,448255,1/84/26/90,0/216/0/0,-230/2798/550/-130,576/-12/73,0/0,2072/1542/-12206,-505/274/326,-3/-204/-12,#r_sy
r,12017,448289,1/85/26/90,0/219/0/0,-229/2827/556/-129,575/-12/84,0/0,2004/1552/-12320,-541/291/340,-3/-213/-12,#r_sy
r,12018,448323,1/86/26/90,0/224/0/0,-230/2813/616/-130,574/-12/94,0/0,1952/1364/-12174,-496/269/325,-3/-222/-12,#r_sy
r,12019,448354,1/86/26/90,0/230/0/0,-228/2815/620/-126,573/-12/100,0/0,1844/1274/-12230,-514/274/333,-3/-227/-12,#r_sy
r,12020,448395,1/87/26/90,0/251/0/0,-229/2858/623/-127,572/-12/110,0/0,1762/1150/-12108,-483/255/327,-4/-236/-12,#r_sy
r,12021,448429,1/88/26/90,0/251/0/0,-228/2824/621/-131,570/-12/121,0/0,1644/1066/-12122,-482/253/344,-4/-245/-13,#r_sy
r,12022,448462,1/89/26/90,0/247/0/0,-229/2856/618/-128,568/-12/131,0/0,1592/1040/-12184,-498/259/344,-4/-254/-13,#r_sy
r,12023,448495,1/90/26/90,0/205/0/0,-230/2838/622/-126,567/-12/137,0/0,1526/922/-12036,-451/234/337,-4/-259/-13,#r_sy
s,0,#r_sy
r,12024,448528,1/90/26/90,0/231/0/0,-230/2820/624/-126,566/-12/147,0/0,1548/997/-12200,-505/260/343,-4/-268/-13,#r_sy
r,12025,448561,1/91/26/90,0/212/0/0,-231/2889/619/-127,563/-12/157,0/0,1450/828/-12016,-440/226/332,-4/-277/-13,#r_sy
r,12026,448594,1/92/26/90,0/252/0/0,-229/2886/622/-129,562/-12/162,0/0,1392/816/-12180,-490/253/335,-4/-281/-13,#r_sy
r,12027,448631,1/93/26/90,0/218/0/0,-229/2866/621/-125,561/-12/173,0/0,1248/668/-12154,-456/233/331,-5/-290/-13,#r_sy
r,12028,448663,1/94/26/90,0/210/0/0,-230/2887/618/-127,558/-12/183,0/0,1188/522/-12142,-450/234/322,-5/-299/-13,#r_sy
r,12029,448695,1/94/26/90,0/201/0/0,-229/2883/621/-128,556/-12/187,0/0,1122/440/-12256,-467/244/322,-5/-304/-13,#r_sy
r,12030,448729,1/95/26/90,0/197/0/0,-230/2885/623/-125,555/-11/197,0/0,1076/336/-12200,-436/231/306,-5/-312/-13,#r_sy
r,12031,448763,1/96/26/90,0/223/0/0,-229/2890/622/-124,552/-11/206,0/0,1018/209/-12322,-456/243/303,-5/-320/-13,#r_sy
r,12032,448796,1/96/26/90,0/215/0/0,-229/2923/619/-131,551/-11/211,0/0,904/66/-12314,-438/234/308,-5/-324/-13,#r_sy
r,12033,448830,1/97/26/90,0/188/0/0,-229/2893/620/-127,548/-11/219,0/0,958/4/-12298,-438/240/287,-6/-332/-13,#r_sy
r,12034,448865,1/98/26/90,0/170/0/0,-229/2855/622/-127,546/-11/227,0/0,930/-40/-12286,-433/236/296,-6/-339/-13,#r_sy
r,12035,448896,1/98/26/90,0/147/0/0,-229/2871/620/-127,545/-11/231,0/0,902/-178/-12246,-412/229/284,-6/-343/-14,#r_sy
r,12036,448930,1/99/26/90,0/159/0/0,-229/2852/621/-130,543/-11/238,0/0,830/-280/-12312,-432/241/287,-6/-349/-14,#r_sy
r,12037,448968,1/99/26/90,0/154/0/0,-229/2848/618/-131,540/-11/245,0/0,768/-402/-12298,-421/235/283,-6/-355/-14,#r_sy
r,12038,449008,1/100/26/90,0/153/0/0,-229/2848/618/-130,539/-11/251,0/0,626/-558/-12346,-408/228/290,-6/-361/-14,#r_sy
r,12039,449049,1/100/26/90,0/81/0/0,-228/2841/620/-129,536/-11/256,0/0,514/-700/-12402,-410/230/297,-6/-365/-14,#r_sy
r,12040,449090,1/101/26/90,0/77/0/0,-229/2658/616/-125,535/-11/260,0/0,498/-788/-12322,-382/217/292,-6/-369/-14,#r_sy
r,12041,449129,1/101/26/90,0/74/0/0,-228/2695/617/-131,534/-11/264,0/0,469/-820/-12364,-395/225/290,-7/-373/-14,#r_sy
r,12042,449169,1/101/26/90,0/57/0/0,-230/2674/622/-128,533/-11/266,0/0,390/-897/-12330,-387/222/291,-7/-375/-14,#r_sy
r,12043,449203,1/101/26/90,0/19/0/0,-229/2663/621/-127,532/-11/268,0/0,414/-897/-12288,-387/222/282,-7/-376/-14,#r_sy
r,12044,449236,1/101/26/90,0/11/0/0,-229/2591/620/-132,532/-11/268,0/0,436/-888/-12206,-365/213/283,-7/-377/-14,#r_sy
r,12045,449269,1/101/26/90,0/-1/0/0,-229/2359/617/-126,532/-11/268,0/0,464/-889/-12324,-395/233/276,-7/-377/-14,#r_sy
r,12046,449303,1/101/26/90,0/-11/0/0,-228/2034/622/-128,532/-11/268,0/0,394/-954/-12444,-411/241/287,-7/-376/-14,#r_sy
r,12047,449336,1/101/26/90,0/-14/0/0,-230/2019/618/-127,533/-11/267,0/0,421/-932/-12426,-403/239/276,-7/-376/-14,#r_sy
r,12048,449370,1/101/26/90,0/-11/0/0,-230/1989/623/-128,533/-11/267,0/0,456/-846/-12434,-410/242/281,-7/-376/-14,#r_sy
r,12049,449405,1/101/26/90,0/-10/0/0,-229/2007/621/-131,533/-11/266,0/0,492/-854/-12422,-409/243/274,-7/-375/-14,#r_sy
r,12050,449437,1/101/26/90,0/-13/0/0,-229/2010/616/-126,533/-11/266,0/0,488/-847/-12450,-423/252/278,-7/-375/-14,#r_sy
r,12051,449470,1/101/26/90,0/-14/0/0,-229/1989/620/-124,534/-11/265,0/0,504/-802/-12406,-416/247/273,-7/-374/-14,#r_sy
r,12052,449505,1/101/26/90,0/-11/0/0,-228/1998/621/-128,534/-11/264,0/0,558/-760/-12388,-419/250/267,-7/-373/-14,#r_sy
r,12053,449537,1/101/26/90,0/-17/0/0,-227/2007/619/-128,534/-11/264,0/0,532/-762/-12404,-427/255/271,-7/-373/-14,#r_sy
r,12054,449571,1/101/26/90,0/-14/0/0,-229/2009/620/-128,534/-11/263,0/0,528/-796/-12454,-441/264/262,-7/-372/-14,#r_sy
r,12055,449604,1/101/26/90,0/-19/0/0,-229/1994/621/-128,534/-11/263,0/0,520/-794/-12448,-437/261/267,-7/-372/-14,#r_sy
r,12056,449637,1/101/26/90,0/-9/0/0,-228/1993/621/-128,534/-11/262,0/0,614/-742/-12476,-450/270/257,-7/-371/-14,#r_sy
