r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,16297,602173,31/40/38/61,4/0/0/0,250/1370/276/67,449/-132/-344,0/0,1692/268/-13366,-624/383/251,65/106/-28,#r_sy
r,16298,602213,31/40/38/61,0/0/0/0,235/1370/278/68,449/-132/-344,0/0,1734/308/-13303,-613/377/247,65/106/-28,#r_sy
r,16299,602253,31/40/38/61,0/0/0/0,236/1369/276/68,449/-132/-344,0/0,1702/306/-13353,-629/384/254,65/106/-28,#r_sy
r,16300,602292,31/40/38/61,0/0/0/0,239/1370/278/67,449/-132/-344,0/0,1666/312/-13402,-638/388/260,65/106/-28,#r_sy
r,16301,602326,31/40/38/61,0/0/0/0,236/1369/277/68,449/-132/-344,0/0,1682/296/-13374,-632/384/257,65/106/-28,#r_sy
r,16302,602358,31/40/38/61,0/0/0/0,235/1369/277/66,449/-132/-344,0/0,1682/310/-13332,-622/379/255,65/106/-28,#r_sy
r,16303,602392,31/40/38/61,0/0/0/0,235/1371/276/68,449/-132/-344,0/0,1708/320/-13356,-627/382/249,65/106/-28,#r_sy
r,16304,602426,31/40/38/61,0/0/0/0,237/1370/277/67,449/-132/-344,0/0,1692/328/-13410,-639/389/254,65/106/-28,#r_sy
r,16305,602459,31/40/38/61,0/0/0/0,236/1370/277/69,449/-132/-344,0/0,1700/328/-13434,-643/391/255,65/106/-28,#r_sy
r,16306,602493,31/40/38/61,0/0/0/0,236/1370/278/65,449/-132/-344,0/0,1698/336/-13392,-634/386/258,65/106/-28,#r_sy
s,0,#r_sy
r,16307,602528,31/40/38/61,0/0/0/0,236/1369/277/64,449/-132/-344,0/0,1728/336/-13370,-630/384/259,65/106/-28,#r_sy
r,16308,602560,31/40/38/61,0/0/0/0,236/1370/277/67,449/-132/-344,0/0,1720/334/-13402,-635/387/263,65/106/-28,#r_sy
r,16309,602594,31/40/38/61,0/0/0/0,236/1370/278/66,449/-132/-344,0/0,1676/386/-13470,-649/392/271,65/106/-28,#r_sy
r,16310,602627,31/40/38/61,0/0/0/0,237/1371/278/66,449/-132/-344,0/0,1660/406/-13489,-650/392/276,65/106/-28,#r_sy
r,16311,602659,31/40/38/61,0/0/0/0,237/1371/276/68,449/-132/-344,0/0,1671/486/-13474,-652/389/284,65/106/-28,#r_sy
r,16312,602693,31/40/38/61,0/0/0/0,239/1371/277/67,449/-132/-344,0/0,1695/614/-13474,-658/389/293,65/106/-28,#r_sy
r,16313,602728,31/40/38/61,0/0/0/0,234/1369/278/68,449/-132/-344,0/0,1721/760/-13525,-674/391/310,65/106/-28,#r_sy
r,16314,602759,31/40/38/61,0/0/0/0,237/1368/278/67,449/-132/-344,0/0,1732/906/-13578,-694/396/331,65/106/-28,#r_sy
r,16315,602794,31/40/38/61,0/0/0/0,235/1370/277/67,449/-132/-344,0/0,1729/1052/-13592,-700/394/355,65/106/-28,#r_sy
r,16316,602827,31/40/38/61,-3/0/0/0,-107/1370/277/66,449/-132/-344,0/0,1718/1326/-13608,-706/390/398,65/106/-28,#r_sy
r,16317,602859,31/40/38/61,-15/0/0/0,-225/1370/277/66,449/-131/-344,0/0,1776/1480/-13516,-687/379/400,65/106/-28,#r_sy
r,16318,602893,31/40/38/61,-17/0/0/0,-273/1369/277/66,449/-131/-344,0/0,1795/1512/-13596,-711/390/398,65/106/-28,#r_sy
r,16319,602928,31/40/38/61,-14/0/0/0,-253/1371/276/62,449/-130/-344,0/0,1908/1438/-13603,-709/393/357,65/106/-27,#r_sy
r,16320,602959,31/40/38/61,-15/0/0/0,-270/1370/277/69,449/-130/-344,0/0,2002/1410/-13639,-726/406/339,64/106/-26,#r_sy
r,16321,602993,31/40/38/61,-33/0/0/0,-289/1370/277/67,449/-129/-344,0/0,2045/1486/-13622,-714/402/340,64/106/-25,#r_sy
r,16322,603027,31/40/38/61,-32/0/0/0,-267/1370/277/66,449/-128/-344,0/0,2066/1645/-13622,-714/401/361,64/106/-24,#r_sy
r,16323,603059,31/40/38/61,-30/0/0/0,-297/1370/276/68,450/-128/-344,0/0,2050/1782/-13572,-706/395/377,64/106/-24,#r_sy
r,16324,603095,31/40/38/61,-37/0/0/0,-313/1372/278/65,450/-126/-344,0/0,2084/1829/-13575,-712/397/365,64/107/-22,#r_sy
r,16325,603135,30/40/38/61,-36/0/0/0,-333/1369/277/67,450/-125/-344,0/0,2144/1787/-13600,-720/401/344,63/107/-20,#r_sy
r,16326,603175,30/40/38/61,-44/0/0/0,-346/1370/276/70,451/-123/-344,0/0,2296/1818/-13639,-725/409/317,63/107/-18,#r_sy
r,16327,603216,30/40/38/61,-54/0/0/0,-313/1370/277/66,451/-120/-344,0/0,2410/2080/-13780,-763/429/331,62/107/-16,#r_sy
r,16328,603255,30/40/38/61,-59/0/0/0,-379/1370/276/67,452/-118/-344,0/0,2476/2380/-13780,-773/431/357,62/108/-13,#r_sy
r,16329,603295,29/40/38/61,-98/0/0/0,-373/1371/278/68,452/-116/-344,0/0,2510/2612/-13802,-788/433/367,61/108/-10,#r_sy
r,16330,603335,29/40/38/61,-100/0/0/0,-409/1371/277/67,452/-113/-344,0/0,2556/2678/-13766,-782/428/355,61/108/-7,#r_sy
r,16331,603374,29/40/38/61,-80/0/0/0,-433/1369/278/66,453/-109/-344,0/0,2714/2730/-13738,-780/431/330,60/109/-4,#r_sy
r,16332,603413,28/40/38/61,-122/1/0/0,-451/1590/278/64,453/-106/-344,0/0,2832/2776/-13644,-752/419/319,59/109/0,#r_sy
r,16333,603453,28/40/38/61,-105/7/0/0,-444/1620/276/69,454/-102/-344,0/0,2840/2876/-13625,-746/417/340,58/109/4,#r_sy
r,16334,603494,27/40/38/61,-129/2/0/0,-439/1614/276/63,455/-97/-344,0/0,2886/2948/-13532,-714/401/335,57/110/9,#r_sy
r,16335,603533,27/40/38/61,-140/7/0/0,-444/1605/277/67,456/-93/-343,0/0,2950/2938/-13464,-716/393/315,56/110/14,#r_sy
r,16336,603573,26/40/38/61,-109/14/0/0,-512/1628/277/61,457/-88/-343,0/0,3000/2780/-13500,-686/397/279,55/110/20,#r_sy
r,16337,603609,26/40/38/61,-125/13/0/0,-480/1640/277/67,458/-83/-343,0/0,2950/2720/-13538,-681/393/282,54/110/26,#r_sy
r,16338,603640,25/40/38/61,-143/16/0/0,-464/1631/276/66,458/-80/-342,0/0,3014/2696/-13446,-651/380/259,53/110/29,#r_sy
r,16339,603675,25/40/38/61,-162/31/0/0,-472/1647/277/65,459/-75/-341,0/0,2934/2742/-13420,-637/370/283,51/110/35,#r_sy
