r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,21992,811039,-2/40/41/30,0/0/0/181,-227/1233/137/423,339/-289/-310,0/0,-1870/2376/-14198,-877/262/858,-3/94/-616,#l_sy
r,21993,811070,-2/40/41/31,0/0/0/181,-229/1236/135/483,341/-288/-310,0/0,-1852/2354/-14152,-864/258/845,-3/94/-612,#l_sy
r,21994,811104,-2/40/41/31,0/0/0/218,-227/1236/135/514,344/-286/-310,0/0,-1856/2378/-14124,-857/253/843,-3/94/-605,#l_sy
r,21995,811139,-2/40/41/32,0/0/0/252,-228/1235/137/518,348/-283/-311,0/0,-1821/2380/-14060,-842/247/822,-3/94/-596,#l_sy
r,21996,811171,-2/40/41/33,0/0/0/263,-228/1234/135/532,349/-282/-311,0/0,-1784/2390/-14003,-830/246/810,-3/94/-591,#l_sy
r,21997,811205,-2/40/41/34,0/0/0/261,-229/1237/135/539,354/-279/-312,0/0,-1708/2406/-13938,-814/242/789,-3/94/-581,#l_sy
r,21998,811239,-2/40/41/35,0/0/0/300,-231/1233/135/554,358/-276/-313,0/0,-1668/2422/-13838,-795/238/776,-3/94/-570,#l_sy
r,21999,811271,-2/40/41/35,0/0/0/270,-229/1235/136/567,360/-274/-314,0/0,-1604/2442/-13770,-777/234/763,-3/94/-565,#l_sy
r,22000,811304,-2/40/41/37,0/0/0/319,-229/1233/135/556,365/-270/-314,0/0,-1520/2412/-13674,-753/231/735,-3/94/-552,#l_sy
r,22001,811338,-2/40/41/38,0/0/0/335,-227/1232/134/577,370/-266/-315,0/0,-1460/2420/-13650,-745/230/717,-3/94/-539,#l_sy
r,22002,811370,-2/40/41/39,0/0/0/340,-231/1235/199/583,372/-264/-316,0/0,-1400/2476/-13606,-739/231/708,-3/94/-532,#l_sy
r,22003,811405,-2/40/41/40,0/0/0/356,-229/1235/204/595,377/-259/-317,0/0,-1362/2492/-13525,-719/224/687,-3/94/-518,#l_sy
r,22004,811440,-2/40/41/42,0/0/0/388,-230/1300/202/579,383/-254/-318,0/0,-1342/2590/-13478,-714/223/676,-3/94/-503,#l_sy
r,22005,811471,-2/40/41/42,0/1/0/392,-229/1520/201/602,386/-251/-318,0/0,-1262/2492/-13416,-694/219/630,-3/94/-495,#l_sy
r,22006,811505,-2/40/41/44,0/1/0/401,-229/1541/202/585,392/-245/-319,0/0,-1254/2758/-13450,-706/222/644,-3/94/-479,#l_sy
r,22007,811540,-2/40/41/46,0/1/0/412,-231/1536/200/616,397/-239/-320,0/0,-1194/2776/-13364,-683/212/613,-3/94/-463,#l_sy
r,22008,811581,-2/40/41/47,0/7/0/444,-230/1540/201/592,403/-232/-321,0/0,-1176/2960/-13332,-686/211/619,-3/94/-445,#l_sy
