r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8215,308594,81/69/26/83,-191/0/0/-77,-511/2064/254/-351,130/-647/-109,0/0,758/893/-11596,-515/255/448,-43/-6/-743,#r_sy
r,8216,308633,80/69/26/83,-195/0/0/-62,-537/2060/254/-344,140/-645/-110,0/0,668/870/-11700,-529/262/465,-42/-7/-733,#r_sy
r,8217,308673,79/69/26/83,-217/0/1/-60,-546/2061/276/-385,148/-642/-109,0/0,688/816/-11618,-495/244/446,-42/-8/-722,#r_sy
r,8218,308713,78/69/26/83,-204/0/1/-83,-528/2060/263/-407,157/-639/-110,0/0,566/786/-11756,-511/250/468,-42/-8/-711,#r_sy
r,8219,308752,78/69/26/82,-212/0/1/-64,-547/2059/264/-397,167/-636/-110,0/0,592/728/-11848,-512/248/441,-42/-9/-699,#r_sy
r,8220,308793,77/69/26/82,-244/0/1/-55,-514/2058/273/-367,176/-632/-110,0/0,508/736/-11946,-511/240/464,-42/-10/-688,#r_sy
r,8221,308835,76/69/26/82,-215/0/5/-101,-549/2058/447/-363,186/-629/-110,0/0,532/736/-11966,-520/247/445,-42/-10/-676,#r_sy
r,8222,308874,75/69/26/81,-212/0/2/-108,-561/2059/453/-403,196/-625/-110,0/0,494/632/-11974,-509/239/445,-42/-11/-664,#r_sy
r,8223,308915,74/69/26/81,-258/0/3/-87,-562/2059/451/-408,206/-620/-110,0/0,510/598/-12038,-511/246/418,-41/-12/-651,#r_sy
r,8224,308955,73/69/26/81,-217/0/3/-76,-555/2060/434/-401,216/-616/-110,0/0,476/640/-12032,-509/242/442,-41/-12/-639,#r_sy
r,8225,308994,72/69/26/80,-230/0/2/-90,-551/2061/431/-397,225/-611/-110,0/0,558/634/-12042,-510/249/404,-41/-13/-626,#r_sy
r,8226,309034,71/69/26/80,-226/0/2/-58,-539/2058/429/-382,235/-606/-110,0/0,482/622/-12026,-503/239/426,-41/-14/-613,#r_sy
r,8227,309074,70/69/26/80,-271/0/1/-74,-551/2057/433/-353,245/-600/-110,0/0,580/590/-12044,-507/248/379,-41/-14/-600,#r_sy
r,8228,309115,69/69/26/79,-263/0/1/-95,-572/2060/454/-382,255/-595/-110,0/0,471/624/-12090,-511/243/414,-40/-15/-587,#r_sy
r,8229,309154,68/69/26/79,-223/0/2/-106,-555/2058/427/-419,265/-589/-110,0/0,604/632/-12040,-498/243/366,-40/-16/-574,#r_sy
r,8230,309195,67/69/26/79,-270/0/2/-61,-545/2058/434/-429,274/-583/-110,0/0,478/678/-12090,-507/241/410,-40/-16/-561,#r_sy
r,8231,309234,66/69/26/78,-229/0/2/-96,-577/2054/425/-410,284/-576/-110,0/0,610/648/-12022,-495/243/350,-39/-17/-548,#r_sy
r,8232,309274,65/69/26/78,-272/0/2/-99,-553/2063/433/-410,294/-569/-110,0/0,528/758/-12052,-510/245/384,-39/-18/-535,#r_sy
r,8233,309315,64/69/26/78,-264/0/2/-104,-573/2056/431/-425,303/-562/-110,0/0,714/766/-11896,-480/239/320,-39/-18/-522,#r_sy
r,8234,309354,63/69/26/77,-223/0/2/-77,-560/2059/433/-422,312/-555/-110,0/0,680/856/-11906,-489/239/349,-39/-19/-509,#r_sy
r,8235,309395,62/69/26/77,-226/0/2/-107,-563/2060/430/-434,321/-548/-110,0/0,724/788/-11864,-481/240/321,-38/-20/-495,#r_sy
r,8236,309434,62/69/26/77,-271/0/1/-95,-557/2059/427/-404,331/-541/-110,0/0,696/822/-11838,-486/241/324,-38/-20/-483,#r_sy
r,8237,309475,61/69/26/76,-233/0/1/-64,-560/2060/275/-433,339/-533/-110,0/0,644/876/-11752,-483/234/342,-38/-21/-469,#r_sy
r,8238,309515,60/69/26/76,-219/0/1/-86,-557/2057/271/-426,349/-525/-110,0/0,708/889/-11704,-480/232/309,-37/-22/-456,#r_sy
r,8239,309555,59/69/26/76,-232/0/1/-100,-546/2058/277/-403,356/-517/-110,0/0,586/902/-11784,-506/241/347,-37/-22/-444,#r_sy
r,8240,309596,58/69/26/75,-220/0/1/-61,-538/2057/269/-431,365/-509/-110,0/0,650/888/-11716,-504/244/305,-36/-23/-431,#r_sy
r,8241,309635,57/69/26/75,-232/0/1/-62,-531/2063/268/-379,373/-501/-110,0/0,473/916/-11798,-528/249/360,-36/-23/-419,#r_sy
r,8242,309676,56/69/26/75,-244/0/1/-87,-574/2058/270/-359,381/-492/-110,0/0,640/914/-11716,-513/250/301,-36/-24/-407,#r_sy
r,8243,309715,55/69/26/75,-248/0/1/-73,-570/2061/270/-373,388/-484/-110,0/0,469/1012/-11908,-563/268/369,-35/-25/-395,#r_sy
