r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,13090,487164,-3/63/31/51,-16/232/214/1,-266/2435/867/-37,490/229/-150,0/0,1486/1252/-12542,-304/187/258,1/-41/421,#r_sy
r,13091,487204,-3/64/32/51,-38/237/170/1,-299/2390/860/-37,491/230/-138,0/0,1332/1180/-12682,-342/208/263,2/-58/422,#r_sy
r,13092,487244,-3/65/33/51,-15/234/192/1,-284/2490/925/-41,492/232/-126,0/0,1244/984/-12572,-311/195/242,3/-74/423,#r_sy
r,13093,487285,-3/66/34/51,-11/212/188/1,-299/2466/973/-38,493/232/-113,0/0,1116/924/-12590,-334/210/248,4/-92/424,#r_sy
r,13094,487324,-3/66/34/51,-20/225/207/1,-315/2558/924/-46,494/233/-100,0/0,1040/818/-12478,-298/199/233,5/-109/425,#r_sy
r,13095,487364,-3/67/35/51,-20/217/190/1,-269/2551/954/-20,494/234/-87,0/0,904/760/-12578,-342/223/250,6/-126/426,#r_sy
r,13096,487405,-3/68/36/51,-13/222/186/2,-274/2551/981/-38,495/235/-74,0/0,762/556/-12470,-313/210/241,8/-144/427,#r_sy
r,13097,487443,-3/69/37/51,-11/225/217/1,-259/2590/1062/2,494/235/-62,0/0,678/480/-12514,-338/228/248,9/-162/427,#r_sy
r,13098,487484,-3/70/38/51,0/214/188/1,-236/2625/1037/146,494/235/-49,0/0,628/466/-12418,-313/217/248,10/-179/428,#r_sy
r,13099,487523,-3/71/39/51,0/212/203/0,-234/2634/1062/84,494/235/-37,0/0,544/456/-12470,-346/235/259,11/-197/428,#r_sy
r,13100,487563,-3/72/40/51,0/196/240/0,-225/2636/1051/-52,493/235/-25,0/0,448/324/-12450,-333/231/258,12/-214/428,#r_sy
r,13101,487603,-3/73/41/51,0/185/242/1,-226/2653/1057/-36,491/235/-13,0/0,450/240/-12424,-350/242/244,13/-231/429,#r_sy
r,13102,487644,-3/73/41/51,0/207/253/0,-229/2679/1059/-2,491/235/-1,0/0,250/188/-12366,-335/228/284,14/-248/429,#r_sy
